,id,genre,track_name,artist_name,valence,energy,k-means_moods,moods_label
88,1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372,4,Depressed
89,5gcj6l37gMBeSAjFnSKeWh,acoustic,Chasing Pavements (Live at Hotel Cafe),Adele,0.202,0.267,4,Depressed
90,0gw9t8io80CCz8XuH440PC,acoustic,How We Do (Party) - Live from Spotify NYC,Rita Ora,0.866,0.575,5,Contentment
91,0SuG9kyzGRpDqrCWtgD6Lq,acoustic,Give Me Love,Ed Sheeran,0.11,0.328,4,Depressed
92,5ydPIlHBSV0w2Mo2ichlmR,acoustic,If You're Not The One,Various Artists,0.306,0.5,2,Misery
93,3wsZYuHJrk3lssa7V7jvye,acoustic,Poison & Wine,The Civil Wars,0.203,0.186,4,Depressed
94,4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,0.135,0.467,2,Misery
95,1SZ63wN0pk18Dr4Epyhcsf,acoustic,Tainted Love,Hannah Peel,0.437,0.192,4,Depressed
96,0KpfYajJVVGgQ32Dby7e9i,acoustic,"Hey, Soul Sister",Train,0.768,0.885,1,Excitement
97,7AlVeahkUlCgpkA1VKAT3e,acoustic,Don't Look Back In Anger,Various Artists,0.271,0.312,4,Depressed
98,3LHg768dEKqJKht2uPTlVR,acoustic,Ghosts,Laura Marling,0.75,0.368,5,Contentment
99,7AYoXqCtME90flUOpBJM7i,acoustic,Society,Eddie Vedder,0.295,0.329,4,Depressed
100,6c2msV3o5jfcMiFHe0XWgu,afrobeat,Djelika,Toumani Diabaté,0.481,0.48,2,Misery
101,5GxgujqhBRtSufmlUpmxTQ,afrobeat,Jambo Bwana,Various Artists,0.526,0.796,3,Energetic
102,4H8hksp4inM3qnujTPWW3h,afrobeat,Djôn'maya,Victor Démé,0.302,0.319,4,Depressed
103,3UIn5t7o6zz1vdJJfeb9Yh,afrobeat,Moziki,Staff Benda Bilili,0.931,0.885,1,Excitement
104,3F7o4t1uwmrZwym5iNiGbV,afrobeat,Yangiluma Inkukhu (The Biting Chicken),Ladysmith Black Mambazo,0.739,0.347,5,Contentment
105,161fk9qHtXsdHPzIGLFHWo,afrobeat,Yabis,Various Artists,0.639,0.629,5,Contentment
106,2yrAD69v6rP6bZhIjs7kOy,afrobeat,Set,Youssou N'Dour,0.786,0.684,1,Excitement
107,5k3U0OGYBccHdKJJu3HrUN,afrobeat,"Hakuna Matata - From ""The Lion King""/Soundtrack",Various Artists,0.725,0.313,5,Contentment
108,3q3fajucnQJuVlk7nM0jw1,afrobeat,Chet Boghassa,Tinariwen,0.808,0.611,5,Contentment
109,2K15Edv21Uw9Cv5tBh8s9O,afrobeat,Bozos,Amadou & Mariam,0.935,0.774,1,Excitement
110,2dusgrGoIoPLqtf1UpcSZT,afrobeat,Gat Me High,May D,0.658,0.899,3,Energetic
111,6i2YA4WM3FqwyO7UX7XWbx,afrobeat,Zumba,Don Omar,0.838,0.9,1,Excitement
112,6EhMqP60LFRqfABN4Pc2wP,afrobeat,Kala Djula,Ali Farka Touré,0.786,0.43,5,Contentment
113,2mFG5xZ9Uz9v4ks0QnwK5i,afrobeat,"Circle of Life - From ""The Lion King""/ Soundtrack",Various Artists,0.553,0.391,5,Contentment
114,4Jh36W007VJNNj0O7TSZRe,afrobeat,Nchi Ya Kitu Kidogo,Eric Wainaina,0.919,0.703,1,Excitement
115,14BhrzVVp17v3miP1tlj8q,afrobeat,Chop & Quench (Jeun Ko Ku),Fela Kuti,0.613,0.686,3,Energetic
116,1D7QWJ0nQ4OrLHnEJEYOhC,afrobeat,4-4-44,Youssou N'Dour,0.468,0.77,3,Energetic
117,0JhKJg5ejeQ8jq89UQtnw8,afrobeat,Levels - Radio Edit,Avicii,0.415,0.881,3,Energetic
118,300DzFkBAgf9PgPbl0ta4o,afrobeat,Khona,Dschinghis Khan,0.448,0.655,2,Misery
119,0RdXMS28fH63l6Is3eHZXM,afrobeat,See Me So,2Baba,0.853,0.484,5,Contentment
120,4aQxm07DiCmrw087lBiICT,afrobeat,Peace In Liberia,Various Artists,0.904,0.557,5,Contentment
121,3mklugf2vUOmXqh7S17aVM,afrobeat,Psychedelic Woman,Various Artists,0.628,0.876,3,Energetic
122,6ma7kNoIMwE9OgMwVhL3JH,afrobeat,Sawt El-wahuch (Le Chant Des Fauves),Terakaft,0.432,0.458,2,Misery
123,4Pl8ViAolRF4rK8QBMhKd9,afrobeat,Redemption Song,Bob Marley & The Wailers,0.698,0.259,5,Contentment
124,4QZ6TKJpZZusMnKXvdJwZx,afrobeat,Dance (feat. Wizkid),R2Bees,0.909,0.953,1,Excitement
125,1wCaldygX7fpq4Hx4LjluH,afrobeat,Gentleman,Fela Kuti,0.678,0.794,3,Energetic
126,60sz0jcrIVGFvYsXL5IYT6,afrobeat,If to Say,Various Artists,0.943,0.81,1,Excitement
127,4Q33HiVThLk7DDDAfyu8S2,afrobeat,Onyame eyhira(produced By Kaywa) (feat. Castro),Sarkodie,0.511,0.856,3,Energetic
128,5JetF2yqEh2GZBu5J5oe2t,afrobeat,Muchana (Zouk Love),Kanda Bongo Man,0.879,0.766,1,Excitement
129,0WjBwFCJ9lFyPrNKAogEew,afrobeat,Iyo Djeli,Various Artists,0.836,0.734,1,Excitement
130,3HSC3C87HV2H2L7VXG0P3S,afrobeat,Beto,Ali Farka Touré,0.466,0.518,2,Misery
131,72I65ZHq5CvIxBttM71ane,afrobeat,Unissons Nous - feat. Keziah Jones,Amadou & Mariam,0.619,0.832,3,Energetic
132,2craYXfaMoW7OGXzOYw4Bg,afrobeat,Let Them Talk,Geraldo Pino,0.928,0.698,1,Excitement
133,07O7ypl5bdCKUop3MW7N9F,afrobeat,Diarabi,Boubacar Traoré,0.531,0.455,5,Contentment
134,3HpqoffTzMozYYZru9qapf,afrobeat,Ilham,Souad Massi,0.657,0.868,3,Energetic
135,2eepRxzqOynKv8WObUtfTa,afrobeat,Slow Down (feat. Wizkid),R2Bees,0.673,0.728,3,Energetic
136,6MBZHOilZfNn5cVNRYXjVT,afrobeat,Jupa Original,Various Artists,0.859,0.677,1,Excitement
137,4AVIdds2A4E4UsZcVU0Uso,afrobeat,I Wish You Were Here,Alpha Blondy,0.58,0.566,5,Contentment
138,2gK3Mp8XdNk4wtXyytQTC9,afrobeat,Dieuf Dieul,Cheikh Lô,0.768,0.579,5,Contentment
139,4qhCr0hoYkQLhhkfur6Jbp,afrobeat,Jonkoloni,Bassekou Kouyate,0.873,0.666,1,Excitement
