id,genre,track_name,artist_name,valence,energy
2YBFbI8ESZD8ELOeFvAQIc,afrobeat,Yèkèrmo Sèw,Mulatu Astatke,0.384,0.528
36limZkbM66ZDEYBnjuONi,afrobeat,Kamoukié,Salif Keita,0.884,0.933
29uoxjfhIdHFxuRn03T18W,afrobeat,Mizin,Ebo Taylor,0.893,0.841
3TXUKx7ljLqmK7idw5HG8G,afrobeat,A chacun son problème,Amadou & Mariam,0.622,0.524
1mDZpgKx9Xpg6ijl9DvdA6,afrobeat,Sa Golo,Boubacar Traoré,0.634,0.769
5H9DmxuPTC7UFNQKV5YX3Q,afrobeat,Bad Girl (feat. Wizkid),Jesse Jagz,0.759,0.898
2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,0.871,0.832
24xmFCREF5JiqKBhLHqgKL,afrobeat,King of Kings,Ladysmith Black Mambazo,0.392,0.0522
1xO2EVEOoGKPQwtVty5Ubb,afrobeat,Naweye Toro,Ali Farka Touré,0.581,0.419
7a37qKKyo2ZrtuBxeaIMvw,afrobeat,Queen Bee,Toumani Diabaté,0.687,0.48
0h11owW0SnQgySECDNtAI5,afrobeat,Sabura,Ekova,0.873,0.547
6ixbshqPYUopboiy5g3kxd,afrobeat,Oleku,Various Artists,0.811,0.718
1Ogg5nXrqc4AeMf1ryq0uL,afrobeat,C'est Pas Facile Pour Les Aigles - feat. Ebony Bones,Amadou & Mariam,0.821,0.855
4iEBmWl1OzPIfNbZAV378G,afrobeat,Tchamantché,Rokia Traoré,0.933,0.355
1Ja4n0VukWdL7JeWVrSPLu,alt-rock,California,Mazzy Star,0.0369,0.255
4GiVcDqNQI0fc0yYuRGH9m,alt-rock,Inside Out,Eve 6,0.691,0.818
6DzrElyy0I3nqqInJRPXfz,alt-rock,Houston Hades,Stephen Malkmus & The Jicks,0.692,0.525
1G8g2LoR09NtrG4y8NQcJL,alt-rock,Ashes to Ashes,Faith No More,0.358,0.866
4E6YM4V7Kz6zpbiNsliwEl,alt-rock,Just Like Honey,The Jesus and Mary Chain,0.535,0.437
2TxYbRGmKGbVnSFRWlp1Qx,alt-rock,Skinny Little Bitch,Hole,0.476,0.969
7dQLapxqvTdWf1E5obJphd,alt-rock,In Its Pull,Half Japanese,0.372,0.942
1dmaXl48kB8627pNVww5fb,alt-rock,Thought Of Sound,The Rentals,0.359,0.836
4ZFb9hUWOfdpq0JmbHDLyE,alt-rock,Girlfriend,Matthew Sweet,0.826,0.584
1mIbZj0uHmRDQKQcZRRikL,alt-rock,Dreams Burn Down - 2001 Remaster,Ride,0.446,0.913
6ULdwUqVr1tkBCfLSsbu4j,alt-rock,Holiday (Single Mix),Wheatus,0.418,0.801
64y2b8pfVjN9vMvAmon9Po,alt-rock,Sunray Venus,Throwing Muses,0.929,0.854
6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884
6fXMBtWjjUKv6ABTDPdBMS,alt-rock,The Moment,Toad The Wet Sprocket,0.43,0.795
5fhv6zZwZVzKL5S3IHGqVr,alt-rock,Cry Of Achilles,Alter Bridge,0.203,0.985
